org_event_name,year,date,event_name,from,to
Purim End,2014,2014-03-16,Purim,2014-03-16,2014-03-16
Purim End,2015,2015-03-05,Purim,2015-03-05,2015-03-05
Purim End,2016,2016-03-24,Purim,2016-03-24,2016-03-24
Ramadan starts,2011,2011-08-01,Ramadan,2011-08-01,2011-09-01
Ramadan starts,2012,2012-07-20,Ramadan,2012-07-20,2012-08-20
Ramadan starts,2013,2013-07-09,Ramadan,2013-07-09,2013-08-09
Ramadan starts,2014,2014-06-29,Ramadan,2014-06-29,2014-07-30
Ramadan starts,2015,2015-06-18,Ramadan,2015-06-18,2015-07-19
Ramadan starts,2016,2016-06-07,Ramadan,2016-06-07,2016-07-08
StPatricksDay,2011,2011-03-17,StPatricksDay,2011-03-17,2011-03-17
StPatricksDay,2012,2012-03-17,StPatricksDay,2012-03-17,2012-03-17
StPatricksDay,2013,2013-03-17,StPatricksDay,2013-03-17,2013-03-17
StPatricksDay,2014,2014-03-17,StPatricksDay,2014-03-17,2014-03-17
StPatricksDay,2015,2015-03-17,StPatricksDay,2015-03-17,2015-03-17
StPatricksDay,2016,2016-03-17,StPatricksDay,2016-03-17,2016-03-17
SuperBowl,2011,2011-02-06,SuperBowl,2011-02-06,2011-02-06
SuperBowl,2012,2012-02-05,SuperBowl,2012-02-05,2012-02-05
SuperBowl,2013,2013-02-03,SuperBowl,2013-02-03,2013-02-03
SuperBowl,2014,2014-02-02,SuperBowl,2014-02-02,2014-02-02
SuperBowl,2015,2015-02-01,SuperBowl,2015-02-01,2015-02-01
SuperBowl,2016,2016-02-07,SuperBowl,2016-02-07,2016-02-07
Thanksgiving,2011,2011-11-24,Thanksgiving,2011-11-24,2011-11-24
Thanksgiving,2012,2012-11-22,Thanksgiving,2012-11-22,2012-11-22
Thanksgiving,2013,2013-11-28,Thanksgiving,2013-11-28,2013-11-28
Thanksgiving,2014,2014-11-27,Thanksgiving,2014-11-27,2014-11-27
Thanksgiving,2015,2015-11-26,Thanksgiving,2015-11-26,2015-11-26
ValentinesDay,2011,2011-02-14,ValentinesDay,2011-02-14,2011-02-14
ValentinesDay,2012,2012-02-14,ValentinesDay,2012-02-14,2012-02-14
ValentinesDay,2013,2013-02-14,ValentinesDay,2013-02-14,2013-02-14
ValentinesDay,2014,2014-02-14,ValentinesDay,2014-02-14,2014-02-14
ValentinesDay,2015,2015-02-14,ValentinesDay,2015-02-14,2015-02-14
ValentinesDay,2016,2016-02-14,ValentinesDay,2016-02-14,2016-02-14
VeteransDay,2011,2011-11-11,VeteransDay,2011-11-11,2011-11-11
VeteransDay,2012,2012-11-11,VeteransDay,2012-11-11,2012-11-11
VeteransDay,2013,2013-11-11,VeteransDay,2013-11-11,2013-11-11
VeteransDay,2014,2014-11-11,VeteransDay,2014-11-11,2014-11-11
VeteransDay,2015,2015-11-11,VeteransDay,2015-11-11,2015-11-11
